thread,thread_name,section,section_title,step,step_title,title_source,process_area,assessment_l2,modal_captured
RTR,Record-to-Report,1.7,Intercompany Processing and Settlements,1.7.1,Execute Intercompany Agreement,prototype,R2R,B2,
RTR,Record-to-Report,1.7,Intercompany Processing and Settlements,1.7.2,Perform Intercompany Billings,prototype,R2R,B2,
RTR,Record-to-Report,1.7,Intercompany Processing and Settlements,1.7.3,Process Intercompany Netting and Settlements,prototype,R2R,B2,
RTR,Record-to-Report,1.7,Intercompany Processing and Settlements,1.7.4,Perform Intercompany Reconciliations,prototype,R2R,B2,
RTR,Record-to-Report,1.7,Intercompany Processing and Settlements,1.7.5,Confirm and Agree Intercompany Balances,prototype,R2R,B2,
RTR,Record-to-Report,1.8,Account Reconciliation,1.8.1,Prepare GL Account Reconciliations,prototype,R2R,B4,
RTR,Record-to-Report,1.8,Account Reconciliation,1.8.2,Prepare Bank Account Reconciliation,prototype,R2R,B4,
RTR,Record-to-Report,1.8,Account Reconciliation,1.8.3,Review and Approve Account Reconciliations,prototype,R2R,B4,
RTR,Record-to-Report,1.8,Account Reconciliation,1.8.4,Manage Reconciliation Compliance Reporting,prototype,R2R,B4,
RTR,Record-to-Report,1.8,Account Reconciliation,1.8.5,Certify Reconciliations,prototype,R2R,B4,
RTR,Record-to-Report,1.9,Period-End Close and Consolidation,1.9.1,Establish and Maintain Closing Calendar,prototype,Allocations,B4,
RTR,Record-to-Report,1.9,Period-End Close and Consolidation,1.9.2,Perform Closing Process,prototype,Allocations,B4,
RTR,Record-to-Report,1.9,Period-End Close and Consolidation,1.9.3,Monitor Closing Process,prototype,Allocations,B4,
RTR,Record-to-Report,1.9,Period-End Close and Consolidation,1.9.4,Process Allocations,prototype,Allocations,B4,
RTR,Record-to-Report,1.9,Period-End Close and Consolidation,1.9.5,Process Period-End Adjustments,prototype,Allocations,B4,
RTR,Record-to-Report,1.9,Period-End Close and Consolidation,1.9.6,Perform Consolidations and Process Eliminations,prototype,Allocations,B4,
RTR,Record-to-Report,1.9,Period-End Close and Consolidation,1.9.7,Prepare Trial Balance,prototype,Allocations,B4,
RTR,Record-to-Report,1.9,Period-End Close and Consolidation,1.9.8,Prepare and Post Management Adjustments,prototype,Allocations,B4,
RTR,Record-to-Report,1.10,Tax Accounting and Compliance,1.10.1,Develop Tax Strategy and Planning,prototype,,F1,
RTR,Record-to-Report,1.10,Tax Accounting and Compliance,1.10.2,"Prepare VAT, Property, Sales and Use Taxes",prototype,,F1,
RTR,Record-to-Report,1.10,Tax Accounting and Compliance,1.10.3,"Prepare Local Taxes (State, Federal)",prototype,,F1,
RTR,Record-to-Report,1.10,Tax Accounting and Compliance,1.10.4,Prepare Foreign Taxes,prototype,,F1,
RTR,Record-to-Report,1.10,Tax Accounting and Compliance,1.10.5,"Review, Finalize and File Taxes",prototype,,F1,
RTR,Record-to-Report,1.10,Tax Accounting and Compliance,1.10.6,Prepare and Maintain Tax-Related Documentation and Compliance,prototype,,F1,
RTR,Record-to-Report,1.10,Tax Accounting and Compliance,1.10.7,Monitor Tax Compliance,prototype,,F1,
RTR,Record-to-Report,1.11,Financial Planning and Analysis,1.11.1,"FP&A Strategy, Policies, Procedures and Controls",prototype,PPAR,A2,
RTR,Record-to-Report,1.11,Financial Planning and Analysis,1.11.2,Pricing and Volumetrics,prototype,PPAR,A2,
RTR,Record-to-Report,1.11,Financial Planning and Analysis,1.11.3,Capital Planning and Analysis,prototype,PPAR,A2,
RTR,Record-to-Report,1.11,Financial Planning and Analysis,1.11.4,Workforce Planning and Analysis,prototype,PPAR,A2,
RTR,Record-to-Report,1.11,Financial Planning and Analysis,1.11.5,Strategic Planning,prototype,PPAR,A2,
RTR,Record-to-Report,1.11,Financial Planning and Analysis,1.11.6,Annual Planning & Budgeting,prototype,PPAR,A2,
RTR,Record-to-Report,1.11,Financial Planning and Analysis,1.11.7,Forecasting,prototype,PPAR,A2,
RTR,Record-to-Report,1.11,Financial Planning and Analysis,1.11.8,Reporting and Performance Management,prototype,PPAR,A2,
RTR,Record-to-Report,1.12,Statutory and External Reporting,1.12.1,"Collect, Validate, and Reconcile Financial Data for Reporting Purposes",prototype,FA&IA,B5,
RTR,Record-to-Report,1.12,Statutory and External Reporting,1.12.2,Prepare Management Reports,prototype,FA&IA,B5,
RTR,Record-to-Report,1.12,Statutory and External Reporting,1.12.3,Perform Financial Analysis,prototype,FA&IA,B5,
RTR,Record-to-Report,1.12,Statutory and External Reporting,1.12.4,Prepare Regulatory Filings,prototype,FA&IA,B5,
RTR,Record-to-Report,1.12,Statutory and External Reporting,1.12.5,Prepare Statutory Reports,prototype,FA&IA,B5,
RTR,Record-to-Report,1.12,Statutory and External Reporting,1.12.6,Prepare Other External Reports,prototype,FA&IA,B5,
S2P,Source-to-Pay,2.1,"Procurement Strategy, Policy and Governance",2.1.1,"Procurement Strategy, Policy and Governance",prototype,,H1,
S2P,Source-to-Pay,2.1,"Procurement Strategy, Policy and Governance",2.1.2,Procurement Function and Performance Management,prototype,,H1,
S2P,Source-to-Pay,2.1,"Procurement Strategy, Policy and Governance",2.1.3,Procurement People Development,prototype,,H1,
S2P,Source-to-Pay,2.1,"Procurement Strategy, Policy and Governance",2.1.4,Procurement Process and Tools Development,prototype,,H1,
S2P,Source-to-Pay,2.1,"Procurement Strategy, Policy and Governance",2.1.5,Procurement Analytics Development,prototype,,H1,
S2P,Source-to-Pay,2.1,"Procurement Strategy, Policy and Governance",2.1.6,Procurement Planning and Forecasting,prototype,,H1,
S2P,Source-to-Pay,2.2,Category Management,2.2.1,Category Segmentation,prototype,,C2,
S2P,Source-to-Pay,2.2,Category Management,2.2.2,Category Cost Model,prototype,,C2,
S2P,Source-to-Pay,2.2,Category Management,2.2.3,Category Strategies and Benchmark,prototype,,C2,
S2P,Source-to-Pay,2.2,Category Management,2.2.4,Opportunity and Impact Assessment,prototype,,C2,
S2P,Source-to-Pay,2.2,Category Management,2.2.5,Prioritization of Projects,prototype,,C2,
S2P,Source-to-Pay,2.3,Sourcing and Supplier Selection,2.3.1,Develop Sourcing Strategy,prototype,,C2,
S2P,Source-to-Pay,2.3,Sourcing and Supplier Selection,2.3.2,Conduct Rfx and Supplier Selection,prototype,,C2,
S2P,Source-to-Pay,2.3,Sourcing and Supplier Selection,2.3.3,Negotiate Agreement,prototype,,C2,
S2P,Source-to-Pay,2.3,Sourcing and Supplier Selection,2.3.4,Request Vendor Creation or Amendment,prototype,,C2,
S2P,Source-to-Pay,2.4,Contract Management,2.4.1,Contract Requirement Determination,prototype,Contracts,C2,
S2P,Source-to-Pay,2.4,Contract Management,2.4.2,Contract Creation and Amendment,prototype,Contracts,C2,
S2P,Source-to-Pay,2.4,Contract Management,2.4.3,Contract Monitoring,prototype,Contracts,C2,
S2P,Source-to-Pay,2.4,Contract Management,2.4.4,Contract Compliance,prototype,Contracts,C2,
S2P,Source-to-Pay,2.4,Contract Management,2.4.5,Contract Template Management,prototype,Contracts,C2,
S2P,Source-to-Pay,2.5,Supplier Management,2.5.1,Supplier Categorization,prototype,,C1,
S2P,Source-to-Pay,2.5,Supplier Management,2.5.2,Supplier Development and Collaboration,prototype,,C1,
S2P,Source-to-Pay,2.6,Catalog Management,2.6.1,Catalog Pipeline,prototype,,C2,
S2P,Source-to-Pay,2.6,Catalog Management,2.6.2,Catalog Maintenance,prototype,,C2,
S2P,Source-to-Pay,2.7,Requisition and Purchase Order,2.7.1,Requisition Creation & Approval,prototype,,C2,
S2P,Source-to-Pay,2.7,Requisition and Purchase Order,2.7.2,Purchase Order Creation & Approval,prototype,,C2,
S2P,Source-to-Pay,2.7,Requisition and Purchase Order,2.7.3,Change Purchase Order,prototype,,C2,
S2P,Source-to-Pay,2.7,Requisition and Purchase Order,2.7.4,Close Purchase Order,prototype,,C2,
S2P,Source-to-Pay,2.8,Goods and Service Receipt,2.8.1,Enter Goods or Service Receipt,prototype,,C2,
S2P,Source-to-Pay,2.8,Goods and Service Receipt,2.8.2,Change Goods or Service Receipt,prototype,,C2,
S2P,Source-to-Pay,2.8,Goods and Service Receipt,2.8.3,Manage Consignment Stock,prototype,,C2,
S2P,Source-to-Pay,2.9,Invoice Document Management,2.9.1,"Receive, Sort & Categorize Document",prototype,,C3,
S2P,Source-to-Pay,2.9,Invoice Document Management,2.9.2,"Scan, Index & Batch Invoice",prototype,,C3,
S2P,Source-to-Pay,2.9,Invoice Document Management,2.9.3,Manage Exceptions,prototype,,C3,
S2P,Source-to-Pay,2.9,Invoice Document Management,2.9.4,Archive Documents,prototype,,C3,
S2P,Source-to-Pay,2.10,Invoice Validation and Approval,2.10.1,Validate and Approve Invoices for Payment,prototype,,C3,
S2P,Source-to-Pay,2.10,Invoice Validation and Approval,2.10.2,Resolve Exceptions,prototype,,C3,
S2P,Source-to-Pay,2.11,Payments,2.11.1,Routine Payment Run,prototype,,C4,
S2P,Source-to-Pay,2.11,Payments,2.11.2,Process Manual Payments,prototype,,C4,
S2P,Source-to-Pay,2.11,Payments,2.11.3,Set Up and Process Direct Debits,prototype,,C4,
S2P,Source-to-Pay,2.11,Payments,2.11.4,Identify and Remove Duplicates,prototype,,C4,
S2P,Source-to-Pay,2.11,Payments,2.11.5,Manage Failed Payments,prototype,,C4,
S2P,Source-to-Pay,2.11,Payments,2.11.6,Check Processing,prototype,,C4,
S2P,Source-to-Pay,2.12,Vendor and GR/IR Reconciliation,2.12.1,Vendor Statement Reconciliations,prototype,,C6,
S2P,Source-to-Pay,2.12,Vendor and GR/IR Reconciliation,2.12.2,Manage GR / IR,prototype,,C6,
S2P,Source-to-Pay,2.12,Vendor and GR/IR Reconciliation,2.12.3,Clear Unmatched Items,prototype,,C6,
S2P,Source-to-Pay,2.13,"Audit, Duplicate and Recovery",2.13.1,Audit Invoice Processed and High Value Transaction,prototype,,C6,
S2P,Source-to-Pay,2.13,"Audit, Duplicate and Recovery",2.13.2,Provide Audit Support,prototype,,C6,
S2P,Source-to-Pay,2.13,"Audit, Duplicate and Recovery",2.13.3,Research Duplicate Payments and Perform Recovery Activities,prototype,,C6,
S2P,Source-to-Pay,2.14,Travel and Expense,2.14.1,Raise and Approve T&E Claim,prototype,,C5,
S2P,Source-to-Pay,2.14,Travel and Expense,2.14.2,Process and Pay T&E Claim,prototype,,C5,
S2P,Source-to-Pay,2.14,Travel and Expense,2.14.3,"Issue, Manage & Reconcile Cards (Including P-cards)",prototype,,C5,
S2P,Source-to-Pay,2.14,Travel and Expense,2.14.4,Travel and Expenses Monitoring,prototype,,C5,
S2P,Source-to-Pay,2.15,Helpdesk and Query Management,2.15.1,Helpdesk Receive & Resolve Queries,prototype,,C6,
S2P,Source-to-Pay,2.15,Helpdesk and Query Management,2.15.2,Helpdesk Escalation Process,prototype,,C6,
S2P,Source-to-Pay,2.15,Helpdesk and Query Management,2.15.3,Ticket Analysis & Solution Optimization,prototype,,C6,
S2P,Source-to-Pay,2.16,Reporting and Cash Forecasting,2.16.1,Prepare KPI/SLA and Operational Reporting,prototype,,H2,
S2P,Source-to-Pay,2.16,Reporting and Cash Forecasting,2.16.2,Prepare KPI/SLA Procurement Reporting,prototype,,H2,
S2P,Source-to-Pay,2.16,Reporting and Cash Forecasting,2.16.3,Forecast Cash Outflows,prototype,,H2,
OTC,Order-to-Cash,3.1,Master Data Management,3.1.1,Automated CMD Creation through Customer Portal,prototype,OTC,D1,
OTC,Order-to-Cash,3.1,Master Data Management,3.1.2,Customer Records Maintenance,prototype,OTC,D1,
OTC,Order-to-Cash,3.1,Master Data Management,3.1.3,Maintain Data Integrity,prototype,OTC,D1,
OTC,Order-to-Cash,3.1,Master Data Management,3.1.4,Correspond with Stakeholders,prototype,OTC,D1,
OTC,Order-to-Cash,3.1,Master Data Management,3.1.5,Product Master Maintenance,prototype,OTC,D1,
OTC,Order-to-Cash,3.1,Master Data Management,3.1.6,Contract Attribute Maintenance,prototype,OTC,D1,
OTC,Order-to-Cash,3.1,Master Data Management,3.1.7,Segmentation Maintenance,prototype,OTC,D1,
OTC,Order-to-Cash,3.1,Master Data Management,3.1.8,Price Record Maintenance,prototype,OTC,D1,
OTC,Order-to-Cash,3.2,Credit Management,3.2.1,Credit Policy Management,prototype,OTC,D1,
OTC,Order-to-Cash,3.2,Credit Management,3.2.2,New Customer Credit Check,prototype,OTC,D1,
OTC,Order-to-Cash,3.2,Credit Management,3.2.3,Manage Credit & Order Limits,prototype,OTC,D1,
OTC,Order-to-Cash,3.2,Credit Management,3.2.4,Maintain Credit Levels,prototype,OTC,D1,
OTC,Order-to-Cash,3.2,Credit Management,3.2.5,Credit Exception Handling,prototype,OTC,D1,
OTC,Order-to-Cash,3.2,Credit Management,3.2.6,Portfolio Credit Review,prototype,OTC,D1,
OTC,Order-to-Cash,3.2,Credit Management,3.2.7,Credit Approval Workflow,prototype,OTC,D1,
OTC,Order-to-Cash,3.2,Credit Management,3.2.8,Bad Debt Provisioning,prototype,OTC,D1,
OTC,Order-to-Cash,3.3,Order/Contract Management,3.3.1,Contract Setup,prototype,Contracts,D2,
OTC,Order-to-Cash,3.3,Order/Contract Management,3.3.2,Order Creation,prototype,Contracts,D2,
OTC,Order-to-Cash,3.3,Order/Contract Management,3.3.3,Order Validation,prototype,Contracts,D2,
OTC,Order-to-Cash,3.3,Order/Contract Management,3.3.4,Order Approval,prototype,Contracts,D2,
OTC,Order-to-Cash,3.3,Order/Contract Management,3.3.5,Order Modification,prototype,Contracts,D2,
OTC,Order-to-Cash,3.3,Order/Contract Management,3.3.6,Order Cancellation,prototype,Contracts,D2,
OTC,Order-to-Cash,3.3,Order/Contract Management,3.3.7,Order Holds Management,prototype,Contracts,D2,
OTC,Order-to-Cash,3.3,Order/Contract Management,3.3.8,Order Confirmation,prototype,Contracts,D2,
OTC,Order-to-Cash,3.3,Order/Contract Management,3.3.9,Contract Compliance Monitoring,prototype,Contracts,D2,
OTC,Order-to-Cash,3.3,Order/Contract Management,3.3.10,Contract Renewal,prototype,Contracts,D2,
OTC,Order-to-Cash,3.4,Order Fulfillment,3.4.1,(step title not captured),pending,OTC,D2,
OTC,Order-to-Cash,3.4,Order Fulfillment,3.4.2,(step title not captured),pending,OTC,D2,
OTC,Order-to-Cash,3.4,Order Fulfillment,3.4.3,(step title not captured),pending,OTC,D2,
OTC,Order-to-Cash,3.4,Order Fulfillment,3.4.4,(step title not captured),pending,OTC,D2,
OTC,Order-to-Cash,3.4,Order Fulfillment,3.4.5,(step title not captured),pending,OTC,D2,
OTC,Order-to-Cash,3.4,Order Fulfillment,3.4.6,(step title not captured),pending,OTC,D2,
OTC,Order-to-Cash,3.5,Billing & Invoicing,3.5.1,(step title not captured),pending,OTC,D3,
OTC,Order-to-Cash,3.5,Billing & Invoicing,3.5.2,(step title not captured),pending,OTC,D3,
OTC,Order-to-Cash,3.5,Billing & Invoicing,3.5.3,(step title not captured),pending,OTC,D3,
OTC,Order-to-Cash,3.5,Billing & Invoicing,3.5.4,(step title not captured),pending,OTC,D3,
OTC,Order-to-Cash,3.5,Billing & Invoicing,3.5.5,(step title not captured),pending,OTC,D3,
OTC,Order-to-Cash,3.5,Billing & Invoicing,3.5.6,(step title not captured),pending,OTC,D3,
OTC,Order-to-Cash,3.5,Billing & Invoicing,3.5.7,(step title not captured),pending,OTC,D3,
OTC,Order-to-Cash,3.5,Billing & Invoicing,3.5.8,(step title not captured),pending,OTC,D3,
OTC,Order-to-Cash,3.5,Billing & Invoicing,3.5.9,(step title not captured),pending,OTC,D3,
OTC,Order-to-Cash,3.5,Billing & Invoicing,3.5.10,(step title not captured),pending,OTC,D3,
OTC,Order-to-Cash,3.5,Billing & Invoicing,3.5.11,(step title not captured),pending,OTC,D3,
OTC,Order-to-Cash,3.6,Customer / Product Support,3.6.1,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.6,Customer / Product Support,3.6.2,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.6,Customer / Product Support,3.6.3,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.6,Customer / Product Support,3.6.4,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.6,Customer / Product Support,3.6.5,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.6,Customer / Product Support,3.6.6,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.7,Collections,3.7.1,Collection Strategies,prototype,OTC,D4,
OTC,Order-to-Cash,3.7,Collections,3.7.2,Customer Segmentation & Risk Scoring,prototype,OTC,D4,
OTC,Order-to-Cash,3.7,Collections,3.7.3,Generate & Prioritize Collection Worklist,prototype,OTC,D4,
OTC,Order-to-Cash,3.7,Collections,3.7.4,Customer Contact (Voice / Non-Voice),prototype,OTC,D4,
OTC,Order-to-Cash,3.7,Collections,3.7.5,Promise to Pay Monitoring,prototype,OTC,D4,
OTC,Order-to-Cash,3.7,Collections,3.7.6,Execute Dunning Activities,prototype,OTC,D4,
OTC,Order-to-Cash,3.7,Collections,3.7.7,Blocked Order Review & Resolution,prototype,OTC,D4,
OTC,Order-to-Cash,3.7,Collections,3.7.8,Preliminary Dispute Identification & Routing,prototype,OTC,D4,
OTC,Order-to-Cash,3.7,Collections,3.7.9,Third-Party Collection & Litigation Support,prototype,OTC,D4,
OTC,Order-to-Cash,3.7,Collections,3.7.10,Collections Reporting & Cash Forecasting,prototype,OTC,D4,
OTC,Order-to-Cash,3.7,Collections,3.7.11,Write-offs / Bad Debt / Refunds Recommendations,prototype,OTC,D4,
OTC,Order-to-Cash,3.8,Dispute & Deduction Management,3.8.1,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.8,Dispute & Deduction Management,3.8.2,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.8,Dispute & Deduction Management,3.8.3,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.8,Dispute & Deduction Management,3.8.4,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.8,Dispute & Deduction Management,3.8.5,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.8,Dispute & Deduction Management,3.8.6,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.8,Dispute & Deduction Management,3.8.7,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.8,Dispute & Deduction Management,3.8.8,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.8,Dispute & Deduction Management,3.8.9,(step title not captured),pending,OTC,D6,
OTC,Order-to-Cash,3.9,Cash Applications,3.9.1,Bank & Lockbox Ingestion,prototype,OTC,D5,
OTC,Order-to-Cash,3.9,Cash Applications,3.9.2,AR Policy Compliance,prototype,OTC,D5,
OTC,Order-to-Cash,3.9,Cash Applications,3.9.3,AR Transaction Processing,prototype,OTC,D5,
OTC,Order-to-Cash,3.9,Cash Applications,3.9.4,Payment Matching & Posting,prototype,OTC,D5,
OTC,Order-to-Cash,3.9,Cash Applications,3.9.5,Remittance Processing,prototype,OTC,D5,
OTC,Order-to-Cash,3.9,Cash Applications,3.9.6,Cash Application Exception Handling,prototype,OTC,D5,
OTC,Order-to-Cash,3.9,Cash Applications,3.9.7,Payment Adjustments & Transfers,prototype,OTC,D5,
OTC,Order-to-Cash,3.9,Cash Applications,3.9.8,Write-offs & Refunds,prototype,OTC,D5,
OTC,Order-to-Cash,3.9,Cash Applications,3.9.9,Alternative Payment Processing,prototype,OTC,D5,
OTC,Order-to-Cash,3.9,Cash Applications,3.9.10,Bank & Customer Account Reconciliation,prototype,OTC,D5,
OTC,Order-to-Cash,3.9,Cash Applications,3.9.11,AR Reporting & Insights,prototype,OTC,D5,
OTC,Order-to-Cash,3.10,Adjustment Credit Admin,3.10.1,Promotion / Rebates Credits,prototype,OTC,D6,
OTC,Order-to-Cash,3.10,Adjustment Credit Admin,3.10.2,Credit Reconciliation,prototype,OTC,D6,
OTC,Order-to-Cash,3.10,Adjustment Credit Admin,3.10.3,Credit Card Reconciliation,prototype,OTC,D6,
OTC,Order-to-Cash,3.10,Adjustment Credit Admin,3.10.4,Mail Sort & Distribution,prototype,OTC,D6,
OTC,Order-to-Cash,3.10,Adjustment Credit Admin,3.10.5,Audit Support,prototype,OTC,D6,
OTC,Order-to-Cash,3.10,Adjustment Credit Admin,3.10.6,Compliance Monitoring,prototype,OTC,D6,
OTC,Order-to-Cash,3.11,Reporting & Analysis,3.11.1,KPI / SLA and Operational Reporting,prototype,FA&IA,H2,
OTC,Order-to-Cash,3.11,Reporting & Analysis,3.11.2,Process Analytics,prototype,FA&IA,H2,
